category,exercise,name
BANDED_EXERCISES,AB_TWIST,Banded Ab Twist
BANDED_EXERCISES,BACK_EXTENSION,Banded Back Extension
BANDED_EXERCISES,BANDED_EXERCISES,Banded Exercises
BANDED_EXERCISES,BICYCLE_CRUNCH,Banded Bicycle Crunch
BANDED_EXERCISES,CALF_RAISES,Banded Calf Raises
BANDED_EXERCISES,CLAM_SHELLS,Banded Clam Shells
BANDED_EXERCISES,CURL,Banded Curl
BANDED_EXERCISES,DEADBUG,Banded Deadbug
BANDED_EXERCISES,DEADLIFT,Banded Deadlift
BANDED_EXERCISES,DONKEY_KICK,Banded Donkey Kick
BANDED_EXERCISES,EXTERNAL_ROTATION,Banded External Rotation
BANDED_EXERCISES,EXTERNAL_ROTATION_AT_90_DEGREE_ABDUCTION,Banded External Rotation at 90-Degree Abduction
BANDED_EXERCISES,FIRE_HYDRANT,Banded Fire Hydrant
BANDED_EXERCISES,FLY,Banded Fly
BANDED_EXERCISES,FRONT_RAISE,Banded Front Raise
BANDED_EXERCISES,GLUTE_BRIDGE,Banded Glute Bridge
BANDED_EXERCISES,HAMSTRING_CURLS,Banded Hamstring Curls
BANDED_EXERCISES,HIGH_PLANK_LEG_LIFTS,Banded High Plank Leg Lifts
BANDED_EXERCISES,HIP_EXTENSION,Banded Hip Extension
BANDED_EXERCISES,INTERNAL_ROTATION,Banded Internal Rotation
BANDED_EXERCISES,JUMPING_JACK,Banded Jumping Jack
BANDED_EXERCISES,KNEELING_CRUNCH,Banded Kneeling Crunch
BANDED_EXERCISES,LATERAL_BAND_WALKS,Banded Lateral Band Walks
BANDED_EXERCISES,LATERAL_RAISE,Banded Lateral Raise
BANDED_EXERCISES,LATPULL,Banded Latpull
BANDED_EXERCISES,LEG_ABDUCTION,Banded Leg Abduction
BANDED_EXERCISES,LEG_ADDUCTION,Banded Leg Adduction
BANDED_EXERCISES,LEG_EXTENSION,Banded Leg Extension
BANDED_EXERCISES,LUNGE,Banded Lunge
BANDED_EXERCISES,PLANK,Banded Plank
BANDED_EXERCISES,PULL_APART,Banded Pull Apart
BANDED_EXERCISES,PUSH_UPS,Banded Push-ups
BANDED_EXERCISES,REVERSE_CRUNCH,Banded Reverse Crunch
BANDED_EXERCISES,ROW,Banded Row
BANDED_EXERCISES,SHOULDER_ABDUCTION,Banded Shoulder Abduction
BANDED_EXERCISES,SHOULDER_EXTENSION,Banded Shoulder Extension
BANDED_EXERCISES,SHOULDER_EXTERNAL_ROTATION,Banded Shoulder External Rotation
BANDED_EXERCISES,SHOULDER_FLEXION_TO_90_DEGREES,Banded Shoulder Flexion to 90-Degrees
BANDED_EXERCISES,SIDE_PLANK_LEG_LIFTS,Banded Side Plank Leg Lifts
BANDED_EXERCISES,SQUAT,Banded Squat
BANDED_EXERCISES,SQUAT_TO_PRESS,Banded Squat to Press
BANDED_EXERCISES,TRICEP_EXTENSION,Banded Tricep Extension
BANDED_EXERCISES,TRICEP_KICKBACK,Banded Tricep Kick-back
BANDED_EXERCISES,UPRIGHT_ROW,Banded Upright Row
BANDED_EXERCISES,WALL_CRAWL_WITH_EXTERNAL_ROTATION,Banded Wall Crawl with External Rotation
BATTLE_ROPE,ALTERNATING_FIGURE_EIGHT,Battle Rope Alternating Figure Eight
BATTLE_ROPE,ALTERNATING_JUMP_WAVE,Battle Rope Alternating Jump Wave
BATTLE_ROPE,ALTERNATING_KNEELING_TO_STANDING_WAVE,Battle Rope Alternating Kneeling to Standing Wave
BATTLE_ROPE,ALTERNATING_LUNGE_WAVE,Battle Rope Alternating Lunge Wave
BATTLE_ROPE,ALTERNATING_SQUAT_WAVE,Battle Rope Alternating Squat Wave
BATTLE_ROPE,ALTERNATING_WAVE,Battle Rope Alternating Wave
BATTLE_ROPE,ALTERNATING_WAVE_WITH_LATERAL_SHUFFLE,Battle Rope Alternating Wave with Lateral Shuffle
BATTLE_ROPE,BATTLE_ROPE,Battle Rope
BATTLE_ROPE,CLAP_WAVE,Battle Rope Clap Wave
BATTLE_ROPE,DOUBLE_ARM_FIGURE_EIGHT,Battle Rope Double-arm Figure Eight
BATTLE_ROPE,DOUBLE_ARM_SIDE_TO_SIDE_SNAKE,Battle Rope Double Arm Side-to-Side Snake
BATTLE_ROPE,DOUBLE_ARM_SIDE_WAVE,Battle Rope Double-arm Side Wave
BATTLE_ROPE,DOUBLE_ARM_SLAM,Battle Rope Double-arm Slam
BATTLE_ROPE,DOUBLE_ARM_WAVE,Battle Rope Double-arm Wave
BATTLE_ROPE,GRAPPLER_TOSS,Battle Rope Grappler Toss
BATTLE_ROPE,HIP_TOSS,Battle Rope Hip Toss
BATTLE_ROPE,INSIDE_CIRCLE,Battle Rope Inside Circle
BATTLE_ROPE,IN_AND_OUT_WAVE,Battle Rope In and Out Wave
BATTLE_ROPE,JUMPING_JACKS,Battle Rope Jumping Jacks
BATTLE_ROPE,OUTSIDE_CIRCLE,Battle Rope Outside Circle
BATTLE_ROPE,RAINBOW,Battle Rope Rainbow
BATTLE_ROPE,SIDEWINDER,Battle Rope Sidewinder
BATTLE_ROPE,SIDE_PLANK_WAVE,Battle Rope Side Plank Wave
BATTLE_ROPE,SITTING_RUSSIAN_TWIST,Battle Rope Sitting Russian Twist
BATTLE_ROPE,SNAKE_WAVE,Battle Rope Snake Wave
BATTLE_ROPE,SPLIT_JACK,Battle Rope Split Jack
BATTLE_ROPE,STAGE_COACH,Battle Rope Stage Coach
BATTLE_ROPE,ULTIMATE_WARRIOR,Battle Rope Ultimate Warrior
BATTLE_ROPE,UPPER_CUTS,Battle Rope Upper Cuts
BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS,Alternating Dumbbell Chest Press
BENCH_PRESS,ALTERNATING_DUMBBELL_CHEST_PRESS_ON_SWISS_BALL,Alternating Dumbbell Chest Press on Swiss Ball
BENCH_PRESS,BARBELL_BENCH_PRESS,Barbell Bench Press
BENCH_PRESS,BARBELL_BOARD_BENCH_PRESS,Barbell Board Bench Press
BENCH_PRESS,BARBELL_FLOOR_PRESS,Barbell Floor Press
BENCH_PRESS,BENCH_PRESS,Bench Press
BENCH_PRESS,CLOSE_GRIP_BARBELL_BENCH_PRESS,Close-grip Barbell Bench Press
BENCH_PRESS,DECLINE_DUMBBELL_BENCH_PRESS,Decline Dumbbell Bench Press
BENCH_PRESS,DUMBBELL_BENCH_PRESS,Dumbbell Bench Press
BENCH_PRESS,DUMBBELL_FLOOR_PRESS,Dumbbell Floor Press
BENCH_PRESS,INCLINE_BARBELL_BENCH_PRESS,Incline Barbell Bench Press
BENCH_PRESS,INCLINE_DUMBBELL_BENCH_PRESS,Incline Dumbbell Bench Press
BENCH_PRESS,INCLINE_SMITH_MACHINE_BENCH_PRESS,Incline Smith Machine Bench Press
BENCH_PRESS,ISOMETRIC_BARBELL_BENCH_PRESS,Isometric Barbell Bench Press
BENCH_PRESS,KETTLEBELL_CHEST_PRESS,Kettlebell Chest Press
BENCH_PRESS,NEUTRAL_GRIP_DUMBBELL_BENCH_PRESS,Neutral-grip Dumbbell Bench Press
BENCH_PRESS,NEUTRAL_GRIP_DUMBBELL_INCLINE_BENCH_PRESS,Neutral-grip Dumbbell Incline Bench Press
BENCH_PRESS,ONE_ARM_FLOOR_PRESS,One-arm Floor Press
BENCH_PRESS,PARTIAL_LOCKOUT,Partial Lockout
BENCH_PRESS,REVERSE_GRIP_BARBELL_BENCH_PRESS,Reverse-grip Barbell Bench Press
BENCH_PRESS,REVERSE_GRIP_INCLINE_BENCH_PRESS,Reverse-grip Incline Bench Press
BENCH_PRESS,SINGLE_ARM_CABLE_CHEST_PRESS,Single-arm Cable Chest Press
BENCH_PRESS,SINGLE_ARM_DUMBBELL_BENCH_PRESS,Single-arm Dumbbell Bench Press
BENCH_PRESS,SMITH_MACHINE_BENCH_PRESS,Smith Machine Bench Press
BENCH_PRESS,SWISS_BALL_DUMBBELL_CHEST_PRESS,Swiss Ball Dumbbell Chest Press
BENCH_PRESS,TRIPLE_STOP_BARBELL_BENCH_PRESS,Triple-stop Barbell Bench Press
BENCH_PRESS,WEIGHTED_ONE_ARM_FLOOR_PRESS,Weighted One-arm Floor Press
BENCH_PRESS,WIDE_GRIP_BARBELL_BENCH_PRESS,Wide-grip Barbell Bench Press
BIKE_OUTDOOR,BIKE,Bike
BIKE_OUTDOOR,BIKE_OUTDOOR,Bike Outdoor
CALF_RAISE,CALF_RAISE,Calf Raise
CALF_RAISE,DONKEY_CALF_RAISE,Donkey Calf Raise
CALF_RAISE,SEATED_CALF_RAISE,Seated Calf Raise
