exerciseId,title_it,requires,requires2,unilateral,muscleGroupBroad,muscleGroupSpecific,gradeTypes,youtubeId,lottie,strengthTypes
ABDUCTOR_SIDE_LEG_RAISE,Sollevamento laterale delle gambe con abduttore,BAND,,True,GLUTES,UNILATERAL_GLUTE,REPS,olid32fu7LY,ABDUCTOR_SIDE_LEG_RAISE,FULL_BODY|LEGS_AND_CORE
BANDED_DEADBUG,Deadbug con fascia,BAND,,True,EXTRA,EXTRA,REPS,A-boaViwUOA,BANDED_DEADBUG,FULL_BODY|LEGS_AND_CORE
BANDED_FACE_PULLS,Pull face con fascia,BAND,,False,BACK,BILATERAL_BACK,REPS,AlTGQrDOd98,BANDED_FACE_PULLS,FULL_BODY
BANDED_HAMSTRING_CURL,Hamstring curl con fascia,BAND,,True,HAMSTRING,UNILATERAL_HAM,REPS,vMpIVM_jl3g,BANDED_HAMSTRING_CURL,FULL_BODY|LEGS_AND_CORE
BANDED_TOE_RAISE,Toe raise con fascia,BAND,,True,EXTRA,EXTRA,REPS,KC658qKNpqE,BANDED_TOE_RAISE,FULL_BODY|LEGS_AND_CORE
BARBELL_BENCH_PRESS,Panca piana con bilanciere,BARBELL,BENCH,False,CHEST,BILATERAL_CHEST,REPS,HmzhfGUGQRc,BARBELL_BENCH_PRESS,FULL_BODY
BARBELL_HIP_THRUST,Hip thrust con bilanciere,BARBELL,BOX,False,GLUTES,BILATERAL_GLUTE,REPS,pF17m_CXfL0,GLUTE_BRIDGE,FULL_BODY|LEGS_AND_CORE
BARBELL_SQUAT,Squat con bilanciere,BARBELL,,False,QUADS,BILATERAL_QUAD,REPS,S0H0JxLAOAY,BARBELL_SQUAT,FULL_BODY|LEGS_AND_CORE
BEAR_CRAWL,Bear Crawl,BW,,False,FULL_BODY,BILATERAL_FB,SECONDS,U3Y58Kyw7Xw,BEAR_CRAWL,FULL_BODY|LEGS_AND_CORE
BENT_KNEE_CALF_RAISE,sollevamento dei polpacci a ginocchio piegato,DB,,True,CALVES,UNILATERAL_CALF,REPS,NcMjGCO_-J0,BENT_KNEE_CALF_RAISE,FULL_BODY|LEGS_AND_CORE
BENT_OVER_ROW,Rematore con bilanciere,BARBELL,,False,BACK,BILATERAL_BACK,REPS,rqTOAM8WoeM,BENT_OVER_ROW,FULL_BODY
BODYWEIGHT_SQUAT,Squat con il peso corporeo,BW,,False,WARM_UP,WARMUP_EX_LOWER,REPS|SECONDS,P-yaD24bUE8,BODYWEIGHT_SQUAT,FULL_BODY|LEGS_AND_CORE
BOX_JUMP,Box jump,BOX,,False,PLYOS,PLYOS,REPS,G-bxQY57mKc,BOX_JUMP,FULL_BODY|LEGS_AND_CORE
BURPEE,Burpee,BW,,False,FULL_BODY,BILATERAL_FB,REPS,u1floBsMZNs,BURPEE,LEGS_AND_CORE
CLAM_SHELLS,Clam shell,BW,,True,WARM_UP,WARMUP_EX_LOWER,SECONDS,kO2Me7E83DQ,CLAM_SHELLS_1,LEGS_AND_CORE
CRUNCH_AND_PRESS,Crunch & press,DB,,False,CORE,BILATERAL_CO,REPS,3KnTmnwcFgg,CRUNCH_AND_PRESS,FULL_BODY|LEGS_AND_CORE
DEADBUG,Deadbug,BW,,False,CORE,BILATERAL_CO,REPS,g5XKMzr5gUs,DEADBUG,LEGS_AND_CORE
DIAGONAL_TOE_TAP,Diagonal toe tap,BW,,True,WARM_UP,WARMUP_EX_UPPER,REPS|SECONDS,2yh7i2Vx3rk,DIAGONAL_TOE_TAP,FULL_BODY|LEGS_AND_CORE
DL_SKIPPING,Salto della corda a due gambe,BW,,False,PLYOS,PLYOS,SECONDS,fO_WxAccGvg,DL_SKIPPING,FULL_BODY|LEGS_AND_CORE
DOUBLE_ARM_CLEAN,Clean a due braccia,DB,,False,FULL_BODY,BILATERAL_FB,REPS,IRViyYdBYpQ,DOUBLE_ARM_CLEAN,FULL_BODY|LEGS_AND_CORE
