runna_exerciseId,garmin_category,garmin_exercise,garmin_name,method,confidence,runna_data,intensity,runna_equip,runna_muscleBroad,intensity_match,description_hint,notes
ABDUCTOR_SIDE_LEG_RAISE,HIP_STABILITY,BAND_SIDE_LYING_LEG_RAISE,Band Side-lying Leg Raise,heuristic,high,verified,banded,BAND,GLUTES,same,Abductor Side Leg Raise,
ANKLING,TOTAL_BODY,TOTAL_BODY,Total Body,fallback,low,inferred,bodyweight,BW,,same,Ankling,no close match; generic same-muscle-group placeholder — see description
A_SKIP,WARM_UP,WALKING_HIGH_KNEES,Walking High Knees,curated,med,inferred,bodyweight,BW,,same,A Skip,A-skip running drill ≈ high-knee walk
BACK_EXTENSION,BANDED_EXERCISES,BACK_EXTENSION,Banded Back Extension,enum-exact,med,inferred,bodyweight,BW,,relaxed,Back Extension,
BANDED_DEADBUG,BANDED_EXERCISES,DEADBUG,Banded Deadbug,heuristic,high,verified,banded,BAND,EXTRA,same,Banded Deadbug,
BANDED_FACE_PULLS,ROW,BANDED_FACE_PULLS,Banded Face Pulls,enum-exact,high,verified,banded,BAND,BACK,same,Banded Face Pulls,
BANDED_HAMSTRING_CURL,BANDED_EXERCISES,HAMSTRING_CURLS,Banded Hamstring Curls,curated,high,verified,banded,BAND,HAMSTRING,same,Banded Hamstring Curl,
BANDED_KNEE_EXTENSTION,BANDED_EXERCISES,BANDED_EXERCISES,Banded Exercises,heuristic,med,inferred,banded,BAND,,same,Banded Knee Extenstion,
BANDED_KNEE_EXTENSTION_1,BANDED_EXERCISES,BANDED_EXERCISES,Banded Exercises,heuristic,med,inferred,banded,BAND,,same,Banded Knee Extenstion 1,
BANDED_SIDE_LUNGE,BANDED_EXERCISES,LUNGE,Banded Lunge,heuristic,med,inferred,banded,BAND,,same,Banded Side Lunge,
BANDED_TOE_RAISE,BANDED_EXERCISES,CALF_RAISES,Banded Calf Raises,curated,low,verified,banded,BAND,EXTRA,same,Banded Toe Raise,no banded toe-raise; banded lower-leg (relaxed)
BARBELL_BEHIND_THE_HEAD_SHOULDER_PRESS,SHOULDER_PRESS,BARBELL_SHOULDER_PRESS,Barbell Shoulder Press,heuristic,med,inferred,weighted,BARBELL,,same,Barbell Behind The Head Shoulder Press,
BARBELL_BENCH_PRESS,BENCH_PRESS,BARBELL_BENCH_PRESS,Barbell Bench Press,enum-exact,high,verified,weighted,BARBELL,CHEST,same,Barbell Bench Press,
BARBELL_DEADLIFT,DEADLIFT,BARBELL_DEADLIFT,Barbell Deadlift,enum-exact,med,inferred,weighted,BARBELL,,same,Barbell Deadlift,
BARBELL_HIP_THRUST,HIP_RAISE,BARBELL_HIP_THRUST_ON_FLOOR,Barbell Hip Thrust on Floor,heuristic,high,verified,weighted,BARBELL,GLUTES,same,Barbell Hip Thrust,
BARBELL_OVERHEAD_LUNGE,LUNGE,BARBELL_LUNGE,Barbell Lunge,heuristic,med,inferred,weighted,BARBELL,,same,Barbell Overhead Lunge,
BARBELL_REVERSE_LUNGE,LUNGE,BARBELL_REVERSE_LUNGE,Barbell Reverse Lunge,enum-exact,med,inferred,weighted,BARBELL,,same,Barbell Reverse Lunge,
